OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.51	urn:cts:greekLit:tlg0012.tlg001.msA:1.208
urn:cite:hmt:venAsign.52	urn:cts:greekLit:tlg0012.tlg001.msA:1.209
urn:cite:hmt:venAsign.53	urn:cts:greekLit:tlg0012.tlg001.msA:1.209
urn:cite:hmt:venAsign.54	urn:cts:greekLit:tlg0012.tlg001.msA:1.249
urn:cite:hmt:venAsign.55	urn:cts:greekLit:tlg0012.tlg001.msA:1.251
urn:cite:hmt:venAsign.56	urn:cts:greekLit:tlg0012.tlg001.msA:1.260
urn:cite:hmt:venAsign.57	urn:cts:greekLit:tlg0012.tlg001.msA:1.262
urn:cite:hmt:venAsign.58	urn:cts:greekLit:tlg0012.tlg001.msA:1.270
urn:cite:hmt:venAsign.59	urn:cts:greekLit:tlg0012.tlg001.msA:1.271
urn:cite:hmt:venAsign.60	urn:cts:greekLit:tlg0012.tlg001.msA:1.272
urn:cite:hmt:venAsign.61	urn:cts:greekLit:tlg0012.tlg001.msA:1.275
urn:cite:hmt:venAsign.62	urn:cts:greekLit:tlg0012.tlg001.msA:1.291
urn:cite:hmt:venAsign.63	urn:cts:greekLit:tlg0012.tlg001.msA:1.295
urn:cite:hmt:venAsign.64	urn:cts:greekLit:tlg0012.tlg001.msA:1.299
urn:cite:hmt:venAsign.65	urn:cts:greekLit:tlg0012.tlg001.msA:1.305
urn:cite:hmt:venAsign.66	urn:cts:greekLit:tlg0012.tlg001.msA:1.307
urn:cite:hmt:venAsign.67	urn:cts:greekLit:tlg0012.tlg001.msA:1.310
urn:cite:hmt:venAsign.68	urn:cts:greekLit:tlg0012.tlg001.msA:1.320
urn:cite:hmt:venAsign.69	urn:cts:greekLit:tlg0012.tlg001.msA:1.330
urn:cite:hmt:venAsign.70	urn:cts:greekLit:tlg0012.tlg001.msA:1.336
urn:cite:hmt:venAsign.71	urn:cts:greekLit:tlg0012.tlg001.msA:1.338
urn:cite:hmt:venAsign.72	urn:cts:greekLit:tlg0012.tlg001.msA:1.340
urn:cite:hmt:venAsign.73	urn:cts:greekLit:tlg0012.tlg001.msA:1.351
urn:cite:hmt:venAsign.74	urn:cts:greekLit:tlg0012.tlg001.msA:1.364
urn:cite:hmt:venAsign.75	urn:cts:greekLit:tlg0012.tlg001.msA:1.365
urn:cite:hmt:venAsign.76	urn:cts:greekLit:tlg0012.tlg001.msA:1.366
urn:cite:hmt:venAsign.77	urn:cts:greekLit:tlg0012.tlg001.msA:1.367
urn:cite:hmt:venAsign.78	urn:cts:greekLit:tlg0012.tlg001.msA:1.368
urn:cite:hmt:venAsign.79	urn:cts:greekLit:tlg0012.tlg001.msA:1.369
urn:cite:hmt:venAsign.80	urn:cts:greekLit:tlg0012.tlg001.msA:1.370
urn:cite:hmt:venAsign.81	urn:cts:greekLit:tlg0012.tlg001.msA:1.371
urn:cite:hmt:venAsign.82	urn:cts:greekLit:tlg0012.tlg001.msA:1.372
