Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:1.43,"urn:cite:hmt:vaimg.VA012VN_0514@0.503,0.5402,0.368,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.44,"urn:cite:hmt:vaimg.VA012VN_0514@0.504,0.559,0.341,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.45,"urn:cite:hmt:vaimg.VA012VN_0514@0.501,0.5778,0.335,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.46,"urn:cite:hmt:vaimg.VA012VN_0514@0.5,0.5995,0.333,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.47,"urn:cite:hmt:vaimg.VA012VN_0514@0.503,0.6168,0.341,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.48,"urn:cite:hmt:vaimg.VA012VN_0514@0.502,0.6341,0.354,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.49,"urn:cite:hmt:vaimg.VA012VN_0514@0.504,0.6559,0.316,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.50,"urn:cite:hmt:vaimg.VA012VN_0514@0.505,0.6732,0.339,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.51,"urn:cite:hmt:vaimg.VA013RN_0014@0.186,0.2329,0.328,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.52,"urn:cite:hmt:vaimg.VA013RN_0014@0.184,0.2502,0.334,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.53,"urn:cite:hmt:vaimg.VA013RN_0014@0.184,0.269,0.334,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.54,"urn:cite:hmt:vaimg.VA013RN_0014@0.18,0.287,0.379,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.55,"urn:cite:hmt:vaimg.VA013RN_0014@0.178,0.3058,0.352,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.56,"urn:cite:hmt:vaimg.VA013RN_0014@0.181,0.3238,0.352,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.57,"urn:cite:hmt:vaimg.VA013RN_0014@0.18,0.3456,0.334,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.58,"urn:cite:hmt:vaimg.VA013RN_0014@0.177,0.3651,0.386,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.59,"urn:cite:hmt:vaimg.VA013RN_0014@0.18,0.3824,0.348,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.60,"urn:cite:hmt:vaimg.VA013RN_0014@0.179,0.4012,0.362,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.61,"urn:cite:hmt:vaimg.VA013RN_0014@0.177,0.4207,0.362,0.0323"
