PageZone,"ImageRoI"
urn:cite:hmt:pageroi.1,"urn:cite:hmt:vaimg.VA012RN_0013@0.0417,0.0813,0.845,0.8813"
urn:cite:hmt:pageroi.26,"urn:cite:hmt:vaimg.VA024RN_0025@0.0675,0.0601,0.8163,0.8573"
